0,1,2,3,4
Kab. Brebes,Pengeluaran Pembiayaan Daerah,"18,50 M","13,50 M",72.97
Kab. Brebes,Penyertaan Modal Daerah,"18,50 M","13,50 M",72.97
Kab. Cilacap,Pendapatan Daerah,"3.330,36 M","3.292,58 M",98.87
Kab. Cilacap,PAD,"742,05 M","700,41 M",94.39
Kab. Cilacap,Pajak Daerah,"287,40 M","280,28 M",97.52
Kab. Cilacap,Retribusi Daerah,"28,13 M","19,80 M",70.39
Kab. Cilacap,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"57,57 M","57,36 M",99.63
Kab. Cilacap,Lain-Lain PAD yang Sah,"368,95 M","342,98 M",92.96
Kab. Cilacap,TKDD *),"2.327,87 M","2.286,28 M",98.21
Kab. Cilacap,Pendapatan Transfer Pemerintah Pusat,"2.327,87 M","2.286,28 M",98.21
Kab. Cilacap,Pendapatan Lainnya,"260,44 M","305,88 M",117.45
Kab. Cilacap,Pendapatan Transfer Antar Daerah,"231,44 M","277,13 M",119.74
Kab. Cilacap,Pendapatan Hibah,"29,00 M","28,75 M",99.15
Kab. Cilacap,Belanja Daerah,"3.503,69 M","3.401,50 M",97.08
Kab. Cilacap,Belanja Pegawai,"1.372,12 M","1.276,55 M",93.03
Kab. Cilacap,Belanja Pegawai,"1.372,12 M","1.276,55 M",93.03
Kab. Cilacap,Belanja Barang Jasa,"956,84 M","927,98 M",96.98
Kab. Cilacap,Belanja Barang dan Jasa,"956,84 M","927,98 M",96.98
Kab. Cilacap,Belanja Modal,"506,73 M","537,11 M",105.99
Kab. Cilacap,Belanja Modal,"506,73 M","537,11 M",105.99
Kab. Cilacap,Belanja Lainnya,"667,99 M","659,86 M",98.78
Kab. Cilacap,Belanja Hibah,"78,46 M","110,22 M",140.47
Kab. Cilacap,Belanja Bantuan Sosial,"1,42 M","5,45 M",383.74
Kab. Cilacap,Belanja Tidak Terduga,"50,00 M","4,20 M",8.41
Kab. Cilacap,Belanja Bagi Hasil,"24,41 M","23,31 M",95.51
Kab. Cilacap,Belanja Bantuan Keuangan,"513,70 M","516,67 M",100.58
Kab. Cilacap,Surplus/(Defisit),"-173,33 M","-108,92 M",62.84
Kab. Cilacap,Pembiayaan Daerah,"173,33 M","294,57 M",169.95
Kab. Cilacap,Penerimaan Pembiayaan Daerah,"192,83 M","314,07 M",162.88
Kab. Cilacap,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"192,83 M","314,07 M",162.88
Kab. Cilacap,Pengeluaran Pembiayaan Daerah,"19,50 M","19,50 M",100.00
Kab. Cilacap,Penyertaan Modal Daerah,"19,50 M","19,50 M",100.00
Kab. Demak,Pendapatan Daerah,"2.345,45 M","2.402,67 M",102.44
Kab. Demak,PAD,"451,61 M","477,09 M",105.64
Kab. Demak,Pajak Daerah,"163,63 M","187,74 M",114.73
Kab. Demak,Retribusi Daerah,"31,39 M","27,53 M",87.71
Kab. Demak,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"24,37 M","24,74 M",101.50
Kab. Demak,Lain-Lain PAD yang Sah,"232,21 M","237,09 M",102.10
Kab. Demak,TKDD *),"1.544,75 M","1.645,46 M",106.52
Kab. Demak,Pendapatan Transfer Pemerintah Pusat,"1.544,75 M","1.645,46 M",106.52
Kab. Demak,Pendapatan Lainnya,"349,09 M","280,12 M",80.24
Kab. Demak,Pendapatan Transfer Antar Daerah,"209,92 M","269,02 M",128.15
